Brand,OS_Platform,Resolution_Type,Inches,Launch_Year,Price,Review_Count,Rating
Foxsky,Android,HD Ready,32.0,2023,6999,1855,4.1
Daiwa,Google TV,HD Ready,32.0,2024,9999,334,4.2
XIAOMI,Google TV,HD Ready,32.0,2025,13999,141,4.0
TCL,Google TV,Full HD,32.0,2024,13989,1907,4.1
MarQ,Google TV,HD Ready,24.0,2024,4989,648,4.1
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
HUIDI,Google TV,HD Ready,24.0,2024,4499,893,4.0
TCL,Android,Full HD,32.0,2024,11990,1907,4.1
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
Foxsky,Google TV,Ultra HD (4K),43.0,2024,16999,1045,4.3
Foxsky,Google TV,HD Ready,32.0,2023,6699,570,4.0
Foxsky,Google TV,Ultra HD (4K),55.0,2024,23999,1045,4.3
TCL,Google TV,Ultra HD (4K),55.0,2025,44990,13,4.3
Daiwa,Google TV,Ultra HD (4K),43.0,2024,17999,334,4.2
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
XIAOMI,FireTv OS,Ultra HD (4K),43.0,2025,27999,141,4.0
Daiwa,Google TV,Ultra HD (4K),43.0,2024,17999,90,4.1
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
LG,WebOS,Ultra HD (4K),50.0,2025,37990,1690,4.4
LG,WebOS,Ultra HD (4K),43.0,2022,36490,382,4.5
TCL,Google TV,Ultra HD (4K),43.0,2025,26990,22,4.2
OnePlus,Android,HD Ready,32.0,2020,14999,8436,4.3
KODAK,Android,HD Ready,32.0,2023,9999,7747,4.4
XIAOMI,FireTv OS,HD Ready,32.0,2025,11999,6401,4.3
Hisense,Google TV,Full HD,43.0,2024,19499,483,4.2
HUIDI,Android,HD Ready,50.0,2024,6999,276,3.8
Thomson,Android,Full HD,43.0,2023,16499,21799,4.3
Samsung,Google TV,Ultra HD (4K),55.0,2025,41990,3724,4.3
XIAOMI,FireTv OS,Ultra HD (4K),55.0,2025,37999,141,4.0
Infinix,Google TV,Full HD,43.0,2024,16999,138,4.0
MOTOROLA,Google TV,Full HD,40.0,2023,17499,868,4.2
Blaupunkt,Google TV,Ultra HD (4K),43.0,2023,20499,2749,4.5
Thomson,Google TV,Ultra HD (4K),43.0,2023,19999,5397,4.4
XIAOMI,Google TV,Ultra HD (4K),55.0,2025,42999,141,4.0
LG,WebOS,Ultra HD (4K),55.0,2025,43990,1690,4.4
Reliance,Android,HD Ready,32.0,2024,9490,8,4.1
MOTOROLA,Google TV,Ultra HD (4K),43.0,2024,22999,216,4.3
