Brand,OS_Platform,Resolution_Type,Inches,Launch,Price,Review_Count,Rating
Samsung,,Ultra HD (4K),50,2025,"₹39,990","1,261",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
Thomson,Linux,Full HD,43,2023,"₹14,499","6,259",4.3
LG,WebOS,HD Ready,32,2023,"₹14,990","1,828",4.3
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹24,999","5,753",4.3
Thomson,Google TV,Ultra HD (4K),43,2023,"₹19,999","5,401",4.4
LG,WebOS,HD Ready,32,2023,"₹14,990","1,828",4.3
Reliance,Android,HD Ready,32,2024,"₹9,490",8,4.1
ONIDA,Coolita,HD Ready,32,2024,"₹10,890",126,4.2
Samsung,,HD Ready,32,2020,"₹20,900","2,443",4.4
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
TCL,Android,HD Ready,32,2024,"₹9,490","1,910",4.1
Haier,Google TV,Ultra HD (4K),55,2025,"₹48,990",6,4.1
Foxsky,,HD Ready,32,2023,"₹6,699",572,4
XIAOMI,Google TV,HD Ready,32,2025,"₹13,999",141,4
MOTOROLA,Google TV,HD Ready,32,2023,"₹11,499",868,4.2
Blaupunkt,Android,Ultra HD (4K),43,2021,"₹21,999","1,807",4.5
Samsung,,Ultra HD (4K),50,2023,"₹47,990","1,261",4.3
TOSHIBA,Android,Full HD,43,2023,"₹19,499",807,4.2
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
ONIDA,Google TV,Ultra HD (4K),55,2024,"₹30,990",66,4.1
iFFALCON,Android,HD Ready,32,2024,"₹8,999","8,499",4.2
Thomson,,Ultra HD (4K),43,2025,"₹17,999",157,4.2
Panasonic,Google TV,HD Ready,32,2023,"₹14,990",543,4.2
Thomson,Linux,Full HD,43,2023,"₹14,499","6,259",4.3
ONIDA,Google TV,Ultra HD (4K),43,2024,"₹24,990",126,4.2
Reliance,WebOS,Full HD,32,2024,"₹11,990",41,4
Hisense,,Ultra HD (4K),55,2024,"₹59,999",11,4.1
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
Infinix,Android,Ultra HD (4K),55,2022,"₹32,999",69,4.3
Hisense,Google TV,Ultra HD (4K),43,2024,"₹22,999","1,299",4.3
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Haier,Google TV,Ultra HD (4K),43,2025,"₹34,990",6,4.1
TOSHIBA,Google TV,Ultra HD (4K),50,2025,"₹28,999",360,4.2
TCL,Google TV,Ultra HD (4K),115,2024,"₹29,99,000",,
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹24,999","5,753",4.3
Hisense,,Ultra HD (4K),43,2025,"₹26,999",918,4.3
Samsung,,Ultra HD (4K),55,2025,"₹41,990","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
TOSHIBA,Google TV,HD Ready,32,2025,"₹12,999",0,3.8
Coocaa,Google TV,Ultra HD (4K),55,2024,"₹35,999",59,4.2
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
Thomson,Google TV,Ultra HD (4K),43,2023,"₹19,999","5,401",4.4
iFFALCON,Google TV,Ultra HD (4K),43,2022,"₹19,000","8,499",4.2
MOTOROLA,Google TV,Ultra HD (4K),50,2024,"₹37,999",71,4.3
TOSHIBA,Google TV,Ultra HD (4K),43,2025,"₹23,499",360,4.2
Vu,WebOS,Ultra HD (4K),55,2024,"₹32,499",728,4.2
Foxsky,,HD Ready,32,2023,"₹6,699",572,4
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
TCL,Google TV,Ultra HD (4K),43,2025,"₹28,990",8,4.2
Samsung,,Ultra HD (4K),55,2025,"₹49,990",66,4.4
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
XIAOMI,Google TV,HD Ready,32,2023,"₹13,480","6,403",4.3
HUIDI,Android,Full HD,43,2024,"₹12,999",276,3.8
TOSHIBA,Google TV,Ultra HD (4K),55,2023,"₹36,999",803,4.3
TOSHIBA,Google TV,Ultra HD (4K),85,2024,"₹1,39,999",803,4.3
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
Sansui,Google TV,Ultra HD (4K),43,2024,"₹26,990",5,4.2
TCL,Google TV,Ultra HD (4K),65,2025,"₹67,990",3,4.2
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
LG,WebOS,Ultra HD (4K),65,2025,"₹1,04,990",,
BESTON,Google TV,Ultra HD (4K),55,2025,"₹27,499",7,4.3
TOSHIBA,,Ultra HD (4K),75,2025,"₹84,999",218,4.2
Acer,Google TV,Ultra HD (4K),65,2024,"₹89,999",1,4.1
TCL,Google TV,Ultra HD (4K),75,2023,"₹64,999","1,358",4.2
Thomson,Google TV,Ultra HD (4K),43,2023,"₹19,999","5,401",4.4
Samsung,,Ultra HD (4K),43,2023,"₹30,490","3,730",4.3
Acer,Google TV,Ultra HD (4K),50,2025,"₹28,999",190,4
TOSHIBA,,Ultra HD (4K),65,2024,"₹49,999",803,4.3
Hisense,Google TV,Ultra HD (4K),75,2023,"₹69,999","1,299",4.3
Hisense,Google TV,Ultra HD (4K),55,2023,"₹39,999",456,4.2
Sansui,Google TV,Ultra HD (4K),50,2023,"₹30,910",244,4.2
iFFALCON,Google TV,Ultra HD (4K),50,2025,"₹29,999",133,4.2
Acer,Google TV,Ultra HD (4K),55,2024,"₹39,999",211,4.1
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
XIAOMI,FireTv OS,Ultra HD (4K),43,2025,"₹24,999","5,753",4.3
Hisense,,Ultra HD (4K),55,2024,"₹47,999",49,4.2
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
XIAOMI,Google TV,Ultra HD (4K),55,2025,"₹42,999",141,4
Acer,Google TV,Ultra HD (4K),50,2025,"₹28,999",190,4
Vu,Google TV,Ultra HD (4K),55,2022,"₹36,999","3,088",4.4
Thomson,,HD Ready,24,2018,"₹5,299","3,638",4.1
Sansui,Google TV,HD Ready,32,2023,"₹11,990",244,4.2
XIAOMI,Google TV,HD Ready,32,2025,"₹13,999",141,4
Panasonic,Google TV,HD Ready,32,2023,"₹14,990",543,4.2
Blaupunkt,Linux,HD Ready,24,2022,"₹5,999",244,4
KODAK,Android,Full HD,40,2024,"₹14,499","7,747",4.4
Samsung,,Ultra HD (4K),50,2025,"₹40,990","3,730",4.3
Samsung,,Ultra HD (4K),50,2025,"₹39,990","1,261",4.3
Acer,Google TV,Ultra HD (4K),55,2023,"₹41,990",569,4.2
Samsung,,Ultra HD (4K),55,2023,"₹43,990","3,730",4.3
ONIDA,Google TV,Ultra HD (4K),55,2023,"₹29,990",66,4.1
TCL,Google TV,Ultra HD (4K),65,2025,"₹53,990",13,4.2
Foxsky,Android,HD Ready,32,2023,"₹6,999","1,867",4.1
Foxsky,Google TV,HD Ready,32,2024,"₹7,499","1,062",4.3
SONY,Google TV,Ultra HD (4K),65,2024,"₹78,500",14,4.5
Blaupunkt,Google TV,Ultra HD (4K),50,2025,"₹27,999","2,755",4.5
Samsung,,Ultra HD (4K),43,2025,"₹29,490","3,730",4.3
Samsung,,Ultra HD (4K),43,2025,"₹28,990","1,261",4.3
MOTOROLA,Google TV,Ultra HD (4K),50,2024,"₹28,999",40,4.4
Haier,Google TV,Ultra HD (4K),43,2025,"₹34,990",6,4.1
Admiral,Google TV,Ultra HD (4K),55,2024,"₹27,999",47,4.3
TCL,Google TV,Ultra HD (4K),43,2022,"₹23,990","1,358",4.2
Foxsky,,HD Ready,32,2023,"₹6,699",572,4
XIAOMI,FireTv OS,Ultra HD (4K),55,2025,"₹37,999",141,4
